ID_REGISTRO,ID_IOT,VL_COORDX,VL_COORDY,VL_COORDZ,DTH_REGISTRO,BSSID,RSSI
265,1,8.26,0.78,0.57,2025-07-31 01:02:50,24:FD:0D:D7:17:4A,-51
266,2,2.96,0.0,0.5,2025-07-31 01:02:52,24:FD:0D:D7:17:4A,-65
267,1,8.26,0.78,0.57,2025-07-31 01:02:58,24:FD:0D:D7:17:4A,-51
268,2,2.96,0.0,0.5,2025-07-31 01:03:00,24:FD:0D:D7:17:4A,-67
269,1,8.26,0.78,0.57,2025-07-31 01:03:07,24:FD:0D:D7:17:4A,-52
270,2,2.96,0.0,0.5,2025-07-31 01:03:09,24:FD:0D:D7:17:4A,-65
271,1,8.26,0.78,0.57,2025-07-31 01:03:16,24:FD:0D:D7:17:4A,-51
272,2,2.96,0.0,0.5,2025-07-31 01:03:18,24:FD:0D:D7:17:4A,-64
273,1,8.26,0.78,0.57,2025-07-31 01:03:25,24:FD:0D:D7:17:4A,-52
274,2,2.96,0.0,0.5,2025-07-31 01:03:26,24:FD:0D:D7:17:4A,-69
275,1,8.26,0.78,0.57,2025-07-31 01:03:34,24:FD:0D:D7:17:4A,-52
276,2,2.96,0.0,0.5,2025-07-31 01:03:35,24:FD:0D:D7:17:4A,-68
277,1,8.26,0.78,0.57,2025-07-31 01:03:42,24:FD:0D:D7:17:4A,-51
278,2,2.96,0.0,0.5,2025-07-31 01:03:44,24:FD:0D:D7:17:4A,-64
279,1,8.26,0.78,0.57,2025-07-31 01:03:52,24:FD:0D:D7:17:4A,-52
280,2,2.96,0.0,0.5,2025-07-31 01:03:52,24:FD:0D:D7:17:4A,-60
281,1,8.26,0.78,0.57,2025-07-31 01:04:00,24:FD:0D:D7:17:4A,-51
282,2,2.96,0.0,0.5,2025-07-31 01:04:01,24:FD:0D:D7:17:4A,-59
283,1,8.26,0.78,0.57,2025-07-31 01:04:09,24:FD:0D:D7:17:4A,-52
284,2,2.96,0.0,0.5,2025-07-31 01:04:10,24:FD:0D:D7:17:4A,-60
285,1,8.26,0.78,0.57,2025-07-31 01:04:18,24:FD:0D:D7:17:4A,-52
286,2,2.96,0.0,0.5,2025-07-31 01:04:19,24:FD:0D:D7:17:4A,-60
287,1,8.26,0.78,0.57,2025-07-31 01:04:27,24:FD:0D:D7:17:4A,-51
288,2,2.96,0.0,0.5,2025-07-31 01:04:27,24:FD:0D:D7:17:4A,-60
289,1,8.26,0.78,0.57,2025-07-31 01:04:36,24:FD:0D:D7:17:4A,-51
290,2,2.96,0.0,0.5,2025-07-31 01:04:36,24:FD:0D:D7:17:4A,-62
291,2,2.96,0.0,0.5,2025-07-31 01:04:45,24:FD:0D:D7:17:4A,-62
292,1,8.26,0.78,0.57,2025-07-31 01:04:45,24:FD:0D:D7:17:4A,-51
293,2,2.96,0.0,0.5,2025-07-31 01:04:53,24:FD:0D:D7:17:4A,-62
294,1,8.26,0.78,0.57,2025-07-31 01:04:54,24:FD:0D:D7:17:4A,-50
295,2,2.96,0.0,0.5,2025-07-31 01:05:02,24:FD:0D:D7:17:4A,-62
296,1,8.26,0.78,0.57,2025-07-31 01:05:03,24:FD:0D:D7:17:4A,-51
297,2,2.96,0.0,0.5,2025-07-31 01:05:11,24:FD:0D:D7:17:4A,-59
298,1,8.26,0.78,0.57,2025-07-31 01:05:12,24:FD:0D:D7:17:4A,-52
299,2,2.96,0.0,0.5,2025-07-31 01:05:20,24:FD:0D:D7:17:4A,-60
300,1,8.26,0.78,0.57,2025-07-31 01:05:21,24:FD:0D:D7:17:4A,-52
301,2,2.96,0.0,0.5,2025-07-31 01:05:28,24:FD:0D:D7:17:4A,-62
302,1,8.26,0.78,0.57,2025-07-31 01:05:29,24:FD:0D:D7:17:4A,-53
